符合條件商品
資料日期：2023年  8月  9日
策略,	基金財務輸出CSV
序號,	代碼,	商品,	成交,	漲幅%,	總量,	CLOSE,	C_MA20,	VOL,	VOL_MA10,	ROE4,	毛利率,	營益率,	利息倍數,	股本,	市值
執行時間：2023-08-09 19:11 符合檔數(1770)
133	,1540.TW,喬福,17.1,-1.72,277,17.1,17.39,277,292.5,3.6,26,9.7,7511,9,15
134	,1541.TW,錩泰,33.9,0.3,43,33.9,36.25,43,108.7,6.7,20.1,7.2,17,8,27
135	,1558.TW,伸興,106,-0.47,101,106,106.42,101,81.7,4.1,21.3,4.4,30,7,71
136	,1560.TW,中砂,127,-1.55,2094,127,138.47,2094,5050.6,14.8,29.6,14.3,41,14,183
137	,1565.TW,精華,216,-1.14,279,216,216.88,279,144.2,9.5,20.8,12.7,132,5,109
138	,1568.TW,倉佑,26,1.17,1899,26,24.47,1899,538.8,7.6,23.5,9.3,16,10,27
139	,1569.TW,濱川,24.8,-0.2,193,24.8,24.71,193,269.7,-14.3,1.7,-15.2,10,12,30
140	,1570.TW,力肯,20.2,-1.94,63,20.2,20.39,63,158.2,6,25.6,12.3,621,5,10
141	,1580.TW,新麥,132,-3.3,497,132,132,497,253,18.8,42.9,19.5,106,5,66
142	,1582.TW,信錦,59.8,1.01,309,59.8,57.48,309,261.2,11.8,19.6,5.8,13,12,74
143	,1583.TW,程泰,69.7,0.14,6,69.7,70.13,6,7.3,8.4,20.3,3.6,20,11,77
144	,1584.TW,精剛,33,-2.94,3166,33,34.77,3166,3011.3,14.2,13.8,7.4,7,19,64
145	,1586.TW,和勤,31.8,-0.62,95,31.8,32.32,95,68.8,0,0,0,2,9,27
146	,1587.TW,吉茂,23.6,-4.07,675,23.6,23.9,675,2290.4,1.8,20.3,2.6,10,7,16
147	,1589.TW,永冠-KY,56.5,-0.18,514,56.5,59.21,514,981.6,3.2,19.1,4.6,-1,12,67
148	,1590.TW,亞德客-KY,948,0,448,948,964.5,448,928.7,16.9,45.4,29.6,54,20,1896
149	,1591.TW,駿吉-KY,41.7,-1.42,1553,41.7,39.77,1553,1860,-12.5,-30.1,-90.8,20,3,15
150	,1593.TW,祺驊,76.4,0.92,111,76.4,75.52,111,29.1,4.4,30,7.3,44,4,29
151	,1595.TW,川寶,39.45,-6.74,177,39.45,41.93,177,48.1,1.8,31.5,7,39,5,19
152	,1597.TW,直得,67.5,-0.44,72,67.5,68.5,72,49.4,7.6,46.6,16.3,56,9,60
153	,1598.TW,岱宇,32.55,-0.46,261,32.55,36.09,261,632.8,-8,32.3,-1.7,0,16,52
154	,1599.TW,宏佳騰,36.2,-0.96,444,36.2,37,444,134,-10.2,14.6,-17,414,7,27
155	,1603.TW,華電,36.8,0,1623,36.8,36.18,1623,2299.4,4.4,12.1,8.8,23,19,71
156	,1604.TW,聲寶,27.7,0,183,27.7,27.85,183,448.5,9.5,21.1,8.5,70,38,106
157	,1605.TW,華新,38.95,-1.52,28486,38.95,40.24,28486,40838.7,7.7,9.1,5.4,29,403,1570
158	,1608.TW,華榮,21.25,-0.93,3613,21.25,20.99,3613,7551.8,9,4.7,2.7,7,63,134
159	,1609.TW,大亞,36.85,0.82,28126,36.85,37.74,28126,35510.3,55.9,11.9,4.3,4,72,265
160	,1611.TW,中電,17.65,-0.56,859,17.65,18.24,859,1385.4,3.7,29.5,6.2,11,32,57
161	,1612.TW,宏泰,25.5,-1.92,2982,25.5,26.57,2982,7321.9,8.8,16,11,492,32,81
